page_num,block_num,line_num,text,font_size,font_name,is_bold,is_italic,is_superscript,position_x,position_y,line_width,line_height,page_width,page_height,char_count,word_count,horizontal_position,relative_x,relative_y,distance_from_left,distance_from_right,distance_from_top,distance_from_bottom,is_all_caps,is_title_case,has_numbers,starts_with_number,space_above,space_below,font_size_ratio,is_largest_font,is_above_avg_font,preservation_reason,label
1,1,0,Mission Statement: To provide PTHSD high school students with the opportunity to,14.00584984,Sniglet-Regular,FALSE,FALSE,FALSE,80.32749939,88.69420624,433.8984528,17.43728638,612,792,80,12,left,0.131254084,0.111987634,80.32749939,97.77404785,88.69420624,703.3057938,FALSE,FALSE,FALSE,FALSE,23.3174057,2.614967346,0.500080054,FALSE,TRUE,font_ratio,title
1,1,1,"concentrate their studies, beyond those required in high school, in the areas of science,",12.00479984,Calibri,FALSE,FALSE,FALSE,80.32751465,108.74646,427.1896362,12.00479889,612,792,89,14,left,0.131254109,0.137306136,80.32751465,104.4828491,108.74646,683.25354,FALSE,FALSE,FALSE,FALSE,2.614967346,2.25087738,0.428632394,FALSE,TRUE,font_ratio,body
1,1,2,"technology, engineering, and mathematics, and expose students to relevant real world",12.00479984,Calibri,FALSE,FALSE,FALSE,80.32751465,123.0021362,422.7131958,12.00480652,612,792,84,11,left,0.131254109,0.155305728,80.32751465,108.9592896,123.0021362,668.9978638,FALSE,FALSE,FALSE,FALSE,2.25087738,2.250869751,0.428632394,FALSE,TRUE,font_ratio,body
1,1,3,"experiences through project work, conferences and presentations to enhance their high school",12.00479984,Calibri,FALSE,FALSE,FALSE,80.32751465,137.2578125,463.4754028,12.00480652,612,792,92,12,left,0.131254109,0.173305319,80.32751465,68.19708252,137.2578125,654.7421875,FALSE,FALSE,FALSE,FALSE,2.250869751,2.250869751,0.428632394,FALSE,TRUE,font_ratio,body
1,1,4,experience.,12.00479984,Calibri,FALSE,FALSE,FALSE,80.32751465,151.5134888,59.21969604,12.00480652,612,792,11,1,left,0.131254109,0.19130491,80.32751465,472.4527893,151.5134888,640.4865112,FALSE,FALSE,FALSE,FALSE,2.250869751,274.6570892,0.428632394,FALSE,TRUE,font_ratio,body
1,2,0,PATHWAY OPTIONS,15.30815983,Sniglet-Regular,FALSE,FALSE,FALSE,240.1786957,438.1753845,124.960556,19.0586853,612,792,15,2,middle,0.392448849,0.553251748,240.1786957,246.8607483,438.1753845,353.8246155,TRUE,FALSE,FALSE,FALSE,274.6570892,10.52050781,0.546579142,FALSE,TRUE,font_ratio,h1
1,3,0,REGULAR PATHWAY,15.31019974,Calibri-Bold,TRUE,FALSE,FALSE,117.1802979,467.7545776,124.9159241,15.31018066,612,792,15,2,left,0.191471075,0.590599214,117.1802979,369.9037781,467.7545776,324.2454224,TRUE,FALSE,FALSE,FALSE,10.52050781,19.52124023,0.546651978,FALSE,TRUE,font_ratio,h1
1,5,0,DISTINCTION PATHWAY,15.31019974,Calibri-Bold,TRUE,FALSE,FALSE,351.7226868,467.7545776,147.7740479,15.31018066,612,792,19,2,middle,0.574710272,0.590599214,351.7226868,112.5032654,467.7545776,324.2454224,TRUE,FALSE,FALSE,FALSE,-194.4379883,1.509918213,0.546651978,FALSE,TRUE,font_ratio,h1
1,6,0,Goals:,14.01144981,Sniglet-Regular,FALSE,FALSE,FALSE,45.41230011,182.6382599,36.69598389,17.44425964,612,792,6,1,left,0.074203105,0.230603863,45.41230011,529.891716,182.6382599,609.3617401,FALSE,TRUE,FALSE,FALSE,-569.615036,10.8862915,0.500280002,FALSE,TRUE,font_ratio,body
1,7,0,"• Inspire keen interest in mathematics, science, engineering, and",11.50894928,ArialMT,FALSE,FALSE,FALSE,41.3844986,210.968811,300.0154648,11.80955505,612,792,65,9,left,0.06762173,0.266374761,41.3844986,270.6000366,210.968811,581.031189,FALSE,FALSE,FALSE,FALSE,10.8862915,2.001846313,0.410928008,FALSE,FALSE,font_ratio,body
1,7,1,"technology, develop strong scholarship in the subject and",11.50894928,Calibri,FALSE,FALSE,FALSE,45.412117,224.7802124,269.7238693,11.50895691,612,792,57,8,left,0.074202806,0.283813399,45.412117,296.8640137,224.7802124,567.2197876,FALSE,FALSE,FALSE,FALSE,2.001846313,2.001846313,0.410928008,FALSE,FALSE,font_ratio,body
