page_num,block_num,line_num,text,font_size,font_name,is_bold,is_italic,is_superscript,position_x,position_y,line_width,line_height,page_width,page_height,char_count,word_count,horizontal_position,relative_x,relative_y,distance_from_left,distance_from_right,distance_from_top,distance_from_bottom,is_all_caps,is_title_case,has_numbers,starts_with_number,space_above,space_below,font_size_ratio,is_largest_font,is_above_avg_font,preservation_reason,label
1,0,0,Ontario’s Libraries,15.96000004,Arial-Black,FALSE,FALSE,FALSE,95.44059753,72.08401489,143.2026825,22.48764038,612,792,19,2,left,0.155948689,0.09101517,95.44059753,373.35672,72.08401489,719.9159851,FALSE,FALSE,FALSE,FALSE,72.08401489,0.063812256,0.498127328,FALSE,TRUE,font_ratio,h1
1,0,1,Working Together,15.96000004,Arial-Black,FALSE,FALSE,FALSE,95.44059753,94.63546753,139.9292908,22.48764038,612,792,16,2,left,0.155948689,0.119489227,95.44059753,376.6301117,94.63546753,697.3645325,FALSE,TRUE,FALSE,FALSE,0.063812256,39.64918518,0.498127328,FALSE,TRUE,font_ratio,body
1,1,0,RFP: R,32.04000092,Arial-Black,FALSE,FALSE,FALSE,90.02429962,156.7722931,103.7167282,45.1443634,612,792,6,2,left,0.147098529,0.197944815,90.02429962,418.2589722,156.7722931,635.2277069,TRUE,FALSE,FALSE,FALSE,39.64918518,-45.40071106,1,TRUE,TRUE,font_ratio,body
1,1,1,RFP: R,32.04000092,Arial-Black,FALSE,FALSE,FALSE,90.05634308,156.5159454,103.7167282,45.1443634,612,792,6,2,left,0.147150887,0.197621143,90.05634308,418.2269287,156.5159454,635.4840546,TRUE,FALSE,FALSE,FALSE,-45.40071106,-44.88801575,1,TRUE,TRUE,font_ratio,body
1,1,2,RFP: R,32.04000092,Arial-Black,FALSE,FALSE,FALSE,90.28062439,156.7722931,103.7167206,45.1443634,612,792,6,2,left,0.14751736,0.197944815,90.28062439,418.002655,156.7722931,635.2277069,TRUE,FALSE,FALSE,FALSE,-44.88801575,-45.40071106,1,TRUE,TRUE,font_ratio,body
1,1,3,RFP: Request f,32.04000092,Arial-Black,FALSE,FALSE,FALSE,90.31266785,156.5159454,225.7666473,45.40071106,612,792,14,3,left,0.147569719,0.197621143,90.31266785,295.9206848,156.5159454,635.4840546,FALSE,FALSE,FALSE,FALSE,-45.40071106,-45.40071106,1,TRUE,TRUE,font_ratio,body
1,1,4,quest f,32.04000092,Arial-Black,FALSE,FALSE,FALSE,209.4694366,156.5159454,106.6739655,45.1443634,612,792,7,2,middle,0.342270321,0.197621143,209.4694366,295.8565979,156.5159454,635.4840546,FALSE,FALSE,FALSE,FALSE,-45.40071106,-44.88801575,1,TRUE,TRUE,font_ratio,body
1,1,5,quest f,32.04000092,Arial-Black,FALSE,FALSE,FALSE,209.6616821,156.7722931,106.6739807,45.1443634,612,792,7,2,middle,0.342584448,0.197944815,209.6616821,295.6643372,156.7722931,635.2277069,FALSE,FALSE,FALSE,FALSE,-44.88801575,-45.40071106,1,TRUE,TRUE,font_ratio,body
1,1,6,quest for Pr,32.04000092,Arial-Black,FALSE,FALSE,FALSE,209.6616821,156.5159454,177.4535522,45.40071106,612,792,12,3,middle,0.342584448,0.197621143,209.6616821,224.8847656,156.5159454,635.4840546,FALSE,FALSE,FALSE,FALSE,-45.40071106,-45.40071106,1,TRUE,TRUE,font_ratio,body
1,1,7,r Pr,32.04000092,Arial-Black,FALSE,FALSE,FALSE,332.1506042,156.5159454,55.0607605,45.1443634,612,792,4,2,center,0.542729746,0.197621143,332.1506042,224.7886353,156.5159454,635.4840546,FALSE,FALSE,FALSE,FALSE,-45.40071106,-44.88801575,1,TRUE,TRUE,font_ratio,body
1,1,8,r Pr,32.04000092,Arial-Black,FALSE,FALSE,FALSE,332.310791,156.7722931,55.0607605,45.1443634,612,792,4,2,center,0.542991489,0.197944815,332.310791,224.6284485,156.7722931,635.2277069,FALSE,FALSE,FALSE,FALSE,-44.88801575,-45.40071106,1,TRUE,TRUE,font_ratio,body
