page_num,block_num,line_num,text,font_size,font_name,is_bold,is_italic,is_superscript,position_x,position_y,line_width,line_height,page_width,page_height,char_count,word_count,horizontal_position,relative_x,relative_y,distance_from_left,distance_from_right,distance_from_top,distance_from_bottom,is_all_caps,is_title_case,has_numbers,starts_with_number,space_above,space_below,font_size_ratio,is_largest_font,is_above_avg_font,preservation_reason
1,0,0,Comprehensive Guide to Major Cities in the South of France,12.0,AdobeClean-Bold,True,False,False,72.0,72.02400207519531,312.397216796875,14.784004211425781,612.0,792.0,58,10,left,0.11764705882352941,0.09093939655959005,72.0,227.602783203125,72.02400207519531,719.9759979248047,False,False,False,False,72.02400207519531,10.356010437011719,1.0,True,True,bold
1,1,0,Introduction,12.0,AdobeClean-Bold,True,False,False,72.0,97.16401672363281,67.71600341796875,14.784004211425781,612.0,792.0,12,1,left,0.11764705882352941,0.12268183929751618,72.0,472.28399658203125,97.16401672363281,694.8359832763672,False,True,False,False,10.356010437011719,10.2960205078125,1.0,True,True,bold
2,0,0,Overview of the Region,12.0,AdobeClean-Bold,True,False,False,72.0,72.02400207519531,125.0159912109375,14.784004211425781,612.0,792.0,22,4,left,0.11764705882352941,0.09093939655959005,72.0,414.9840087890625,72.02400207519531,719.9759979248047,False,False,False,False,72.02400207519531,10.35601806640625,1.0,True,True,bold
2,2,0,Travel Tips,12.0,AdobeClean-Bold,True,False,False,72.0,207.74391174316406,58.89599609375,14.78399658203125,612.0,792.0,11,2,left,0.11764705882352941,0.2623029188676314,72.0,481.10400390625,207.74391174316406,584.2560882568359,False,True,False,False,10.3800048828125,11.791275024414062,1.0,True,True,bold
2,3,1,Best Time to Visit : The best time to visit the South of France is during the spring (April,12.0,AdobeClean-Bold,True,False,False,108.0,232.8839874267578,432.43096923828125,14.8800048828125,612.0,792.0,91,19,left,0.17647058823529413,0.29404543867014876,108.0,71.56903076171875,232.8839874267578,559.1160125732422,False,False,False,False,-15.112503051757812,2.3399810791015625,1.0,True,True,bold
2,4,1,"Transportation : The region is well-connected by an extensive network of trains,",12.0,AdobeClean-Bold,True,False,False,108.0,292.2840270996094,401.8919982910156,14.879974365234375,612.0,792.0,80,12,left,0.17647058823529413,0.36904548876213306,108.0,102.10800170898438,292.2840270996094,499.7159729003906,False,False,False,False,-15.11248779296875,2.34002685546875,1.0,True,True,bold
2,5,1,"Language : While French is the oﬃcial language, English is widely spoken in tourist",12.0,AdobeClean-Bold,True,False,False,108.0,351.68402099609375,411.79180908203125,14.879974365234375,612.0,792.0,83,14,left,0.17647058823529413,0.44404548105567393,108.0,92.20819091796875,351.68402099609375,440.31597900390625,False,False,False,False,-15.11248779296875,2.34002685546875,1.0,True,True,bold
3,0,0,Marseille: The Oldest City in France,12.0,AdobeClean-Bold,True,False,False,72.0,72.02400207519531,186.57598876953125,14.784004211425781,612.0,792.0,36,6,left,0.11764705882352941,0.09093939655959005,72.0,353.42401123046875,72.02400207519531,719.9759979248047,False,False,False,False,72.02400207519531,10.35601806640625,1.0,True,True,bold
3,4,1,"Old Port (Vieux-Port) : The heart of Marseille, the Old Port has been a bustling harbor",12.0,AdobeClean-Bold,True,False,False,108.0,240.80397033691406,432.37347412109375,14.8800048828125,612.0,792.0,87,16,left,0.17647058823529413,0.30404541709206323,108.0,71.62652587890625,240.80397033691406,551.1960296630859,False,False,False,False,-15.112503051757812,2.3399810791015625,1.0,True,True,bold
3,5,1,"Basilica of Notre-Dame de la Garde : This iconic basilica, perched on a hill",12.0,AdobeClean-Bold,True,False,False,108.0,300.2640075683594,372.61077880859375,14.879974365234375,612.0,792.0,76,14,left,0.17647058823529413,0.37912122167722145,108.0,131.38922119140625,300.2640075683594,491.7359924316406,False,False,False,False,-15.11248779296875,2.34002685546875,1.0,True,True,bold
3,6,1,MuCEM (Museum of European and Mediterranean Civilizations) : This modern,12.0,AdobeClean-Bold,True,False,False,108.0,359.66400146484375,402.5519714355469,14.879974365234375,612.0,792.0,72,10,left,0.17647058823529413,0.4541212139707623,108.0,101.44802856445312,359.66400146484375,432.33599853515625,False,False,False,False,-15.11248779296875,2.34002685546875,1.0,True,True,bold
